Date,Open,High,Low,Close,Adj Close,Volume,price_change_per_day,price_change_ratio_per_day
2014-12-30,312.718994,314.80899,309.372986,310.737,310.737,12528300,-1.981993999999986,-0.006337939293831273
2014-12-31,310.914001,320.192993,310.210999,320.192993,320.192993,13942900,9.278992000000017,0.029844239790282126
2015-01-01,320.434998,320.434998,314.002991,314.248993,314.248993,8036550,-6.186005000000023,-0.01930502298004297
2015-01-02,314.07901,315.838989,313.565002,315.032013,315.032013,7860650,0.9530030000000238,0.0030342779035123163
2015-01-03,314.846008,315.149994,281.082001,281.082001,281.082001,33054400,-33.76400699999999,-0.10723974940790736
2015-01-04,281.145996,287.230011,257.612,264.195007,264.195007,55629100,-16.95098900000005,-0.060292478787427044
2015-01-05,265.084015,278.341003,265.084015,274.473999,274.473999,43962800,9.38998399999997,0.03542267156320222
2015-01-06,274.610992,287.553009,272.696014,286.188995,286.188995,23245700,11.578002999999967,0.04216146963265027
2015-01-07,286.076996,298.753998,283.07901,294.337006,294.337006,24866800,8.260009999999966,0.028873380647495214
2015-01-08,294.13501,294.13501,282.174988,283.348999,283.348999,19982500,-10.78601100000003,-0.03667027260712701
2015-01-09,282.382996,291.114014,280.53299,290.40799,290.40799,18718600,8.024993999999992,0.028418828731458012
2015-01-10,287.303009,288.127014,273.966003,274.79599,274.79599,15264300,-12.507018999999957,-0.043532502647753185
2015-01-11,274.608002,279.638,265.039001,265.660004,265.660004,18200800,-8.947997999999984,-0.03258462220631132
2015-01-12,266.145996,272.203003,265.200012,267.79599,267.79599,18880300,1.6499939999999924,0.00619958227739031
2015-01-13,267.394012,268.277008,219.906006,225.860992,225.860992,72843904,-41.533019999999965,-0.1553251686129754
2015-01-14,223.893997,223.893997,171.509995,178.102997,178.102997,97638704,-45.791000000000025,-0.20452089208984028
2015-01-15,176.897003,229.067001,176.897003,209.843994,209.843994,81773504,32.946991,0.18624957145260396
2015-01-16,209.070007,221.591003,199.770996,208.097,208.097,38421000,-0.9730069999999955,-0.00465397698102146
2015-01-17,207.834,211.731003,194.875,199.259995,199.259995,23469700,-8.574005,-0.04125410183126919
2015-01-18,200.050003,218.695007,194.505997,210.339005,210.339005,30085100,10.289001999999982,0.05143215119071996
2015-01-19,211.470993,216.727997,207.317993,214.860992,214.860992,18658300,3.3899990000000173,0.016030562640806333
2015-01-20,212.906998,215.240997,205.153,211.315002,211.315002,24051100,-1.5919959999999946,-0.007477424485596264
2015-01-21,211.378006,227.787994,211.212006,226.897003,226.897003,29924600,15.518997000000013,0.07341822024756925
2015-01-22,227.322006,237.018997,226.434006,233.406006,233.406006,33544600,6.084000000000003,0.026763796902267364
2015-01-23,233.516998,234.845001,225.195999,232.878998,232.878998,24621700,-0.6380000000000052,-0.0027321351570304326
2015-01-24,232.699997,248.210007,230.022003,247.847,247.847,24782500,15.147003000000012,0.06509240737119568
2015-01-25,247.352005,255.074005,243.889999,253.718002,253.718002,33582700,6.365997000000021,0.025736589440623382
2015-01-26,254.078995,309.384003,254.078995,273.472992,273.472992,106794000,19.393996999999985,0.07633057978680995
2015-01-27,273.166992,275.480011,250.653,263.475006,263.475006,44399000,-9.691985999999986,-0.03548007732940144
2015-01-28,263.351013,266.535004,227.046005,233.914993,233.914993,44352200,-29.436020000000013,-0.11177485009332397
2015-01-29,233.348007,238.705994,220.712006,233.513,233.513,32213400,0.16499300000000972,0.0007070683916319445
2015-01-30,232.772003,242.850998,225.839005,226.425003,226.425003,26605200,-6.347000000000008,-0.02726702489216458
2015-01-31,226.440994,233.503998,216.309006,217.464005,217.464005,23348200,-8.976989000000003,-0.03964383321864416
2015-02-01,216.867004,231.574005,212.014999,226.972,226.972,29128500,10.104996,0.046595359430519914
2015-02-02,226.490997,242.175003,222.658997,238.229004,238.229004,30612100,11.73800700000001,0.05182549044101745
2015-02-03,237.453995,245.957001,224.483002,227.268005,227.268005,40783700,-10.185990000000004,-0.04289668826165677
2015-02-04,227.511002,230.057999,221.113007,226.852997,226.852997,26594300,-0.6580050000000028,-0.0028921898027595293
2015-02-05,227.664993,239.404999,214.725006,217.110992,217.110992,22516400,-10.554001,-0.04635759262294664
2015-02-06,216.923004,230.509995,216.231995,222.266006,222.266006,24435300,5.343002000000013,0.02463086856385233
2015-02-07,222.632996,230.298996,222.606995,227.753998,227.753998,21604200,5.121002000000004,0.023001990235086287
2015-02-08,227.692993,229.438004,221.076996,223.412003,223.412003,17145200,-4.280990000000003,-0.018801588681299483
2015-02-09,223.389008,223.977005,217.018997,220.110001,220.110001,27791300,-3.2790069999999787,-0.014678461708375458
2015-02-10,220.281998,221.807007,215.332001,219.839005,219.839005,21115100,-0.4429930000000013,-0.002011026793029185
2015-02-11,219.731995,223.406006,218.074005,219.184998,219.184998,17201900,-0.5469970000000046,-0.0024893825771709057
2015-02-12,219.207993,222.199005,217.613998,221.764008,221.764008,15206200,2.556015000000002,0.011660227188887233
2015-02-13,221.968994,240.259003,221.261993,235.427002,235.427002,42744400,13.458007999999978,0.0606301256652088
2015-02-14,235.528,259.808014,235.528,257.321014,257.321014,49732500,21.793014,0.09252833633368432
2015-02-15,257.506989,265.610992,227.684006,234.824997,234.824997,56552400,-22.68199199999998,-0.0880830150982814
2015-02-16,234.824997,239.520996,229.022003,233.843002,233.843002,28153700,-0.9819949999999835,-0.004181816299565346
